#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     TITLE                           PSP FIELDS Fluxgate Magnetometer (MAG) data
#     PROJECT                         PSP
#     DISCIPLINE                      Solar Physics>Heliospheric Physics
#                                     Space Physics>Interplanetary Studies
#     SOURCE_NAME                     PSP_FLD>Parker Solar Probe FIELDS
#     DESCRIPTOR                      MAG_RTN_1min>Fluxgate Magnetometer data in RTN coordinates
#     DATA_TYPE                       L2>Level 2 Data
#     DATA_VERSION                    01
#     TEXT                            PSP FIELDS Fluxgate Magnetometer data. Time resolution varies with instrument                          
#     TEXT                             mode, ranging from 2.3-292.9 samples/sec, corresponding to 2-256 samples per                          
#                                      0.874 seconds (0.874 = 2^25 / 38.4 MHz, see reference [2]).                                           
#                                     The Magnetometer has 4 ranges - +/-1024, +/-4096, +/-16,384, +/-65,536 nT, selected                    
#                                      by the ranging algorithm, based on the ambient magnetic field. Precision is                           
#                                      +/- 15 bits, based on the 16-bit ADC.                                                                 
#                                     References:
#                                     1. Fox, N.J., Velli, M.C., Bale, S.D. et al. Space Sci Rev (2016) 204: 7. https://doi.org/10.1007/s1121
#                                     2. Bale, S.D., Goetz, K., Harvey, P.R. et al. Space Sci Rev (2016) 204: 49.                            
#                                      https://doi.org/10.1007/s11214-016-0244-5                                                             
#     MODS                            Version 1
#     LOGICAL_FILE_ID                 psp_fld_l2_mag_RTN_1min_20190220_v01
#     LOGICAL_SOURCE                  psp_fld_l2_mag_RTN_1min
#     LOGICAL_SOURCE_DESCRIPTION      PSP FIELDS 1 minute cadence Fluxgate Magnetometer (MAG) data in RTN coordinates
#     PI_NAME                         Stuart D. Bale (bale@berkeley.edu)
#     PI_AFFILIATION                  UC Berkeley Space Sciences Laboratory
#     INSTRUMENT_TYPE                 Magnetic Fields (space)
#     MISSION_GROUP                   Parker Solar Probe (PSP)
#     PARENTS                         spp_fld_l1_mago_hk_20190220_v00.cdf
#                                     spp_fld_l1_mago_hk_20190221_v00.cdf, spp_fld_l1_mago_survey_20190220_v00.cdf
#                                     spp_fld_l1_mago_survey_20190221_v00.cdf
#     MAG_OFFSET_CALIBRATION_FILES    psp_mago_zeros_range0_2019_v03.dat
#     DEPENDENCIES                    None
#     FILE_NAMING_CONVENTION          source_datatype_descriptor_yyyyMMdd
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/ParkerSolarProbe/FIELDS/MAG/Level2/RTN/PT1M
#     GENERATED_BY                    PSP FIELDS SOC
#     RULES_OF_USE                    PSP/FIELDS Rules of the Road available at http://fields.ssl.berkeley.edu/rules/
#     GENERATION_DATE                 Tue Nov  5 21:37:36 2019
#     HTTP_LINK                       http://fields.ssl.berkeley.edu/data/
#     LINK_TEXT                       PSP/FIELDS SOC
#     LINK_TITLE                      Data Link
#     TIME_RESOLUTION                 1 minute
#     SVN_VERSION                     25679
#     CDAWEB_PARENTS                  psp_fld_l2_mag_rtn_1min_00000000_v01
#                                     psp_fld_l2_mag_rtn_1min_20181120_v02
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Time in TT2000 for 1 minute cadence MAG waveform data
#  2. Magnetic field in RTN coordinates (1 minute cadence)
#
EPOCH                                 B_R                  B_T                  B_N
                                   (@_1_)               (@_2_)               (@_3_)
Year____Secs-of-year                   nT                   nT                   nT
2018 27910830.000000              4.36160             -16.5632            -0.245280
2018 27910890.000000              2.07535             -16.7103             0.774620
2018 27910950.000000             0.938547             -15.2065              3.92559
2018 27911010.000000              3.70280             -16.0370              1.40989
2018 27911070.000000              5.12002             -16.0569            -0.605049
2018 27911130.000000              3.38344             -15.8120            0.0425458
2018 27911190.000000              3.04097             -15.8877              1.31461
2018 27911250.000000              3.67795             -15.1797              1.46273
2018 27911310.000000              3.77242             -15.5050             0.494027
2018 27911370.000000              2.82691             -15.3219            -0.147576
2018 27911430.000000              3.95600             -14.9374             0.426713
2018 27911490.000000              2.99365             -15.0588              1.89809
2018 27911550.000000              2.01967             -15.4631              1.74927
2018 27911610.000000              3.71985             -14.1172              3.80049
2018 27911670.000000              7.26458             -12.6684              5.66533
2018 27911730.000000              3.12432             -15.0482              3.01849
2018 27911790.000000              3.85016             -14.9574              3.35659
2018 27911850.000000              4.35976             -15.1424              1.35225
2018 27911910.000000              6.51784             -13.2701              2.88340
2018 27911970.000000              12.5061             -8.58388              4.59159
2018 27912030.000000              11.5650             -7.15026              7.80254
2018 27912090.000000              5.38422             -9.49348              9.38996
2018 27912150.000000              6.52234             -10.9844              8.31729
2018 27912210.000000              1.79786             -14.2526            -0.582542
2018 27912270.000000             -6.88326             -6.15041             -10.4708
2018 27912330.000000             -1.49930             -10.0701              4.06963
2018 27912390.000000              4.40757             -10.5327              8.39843
2018 27912450.000000              4.16001             -13.5229              7.74631
2018 27912510.000000              6.68965             -13.1917              5.42740
2018 27912570.000000              5.41833             -12.8867              5.28960
2018 27912630.000000              3.32007             -11.3931              8.90458
2018 27912690.000000            -0.106563             -14.9446              4.48149
2018 27912750.000000             -3.78061             -13.9680              5.49836
2018 27912810.000000              2.46402             -13.9617              5.97395
2018 27912870.000000              5.19893             -13.8032              3.06000
2018 27912930.000000              6.79009             -11.2016              1.29819
2018 27912990.000000              11.5092             -7.05612             -2.44768
2018 27913050.000000              8.00798             -11.9534              3.39105
2018 27913110.000000            -0.366963             -13.4491              6.80499
2018 27913170.000000            -0.636462             -15.0234              5.05675
2018 27913230.000000             0.964841             -14.8328              5.59047
2018 27913290.000000              2.21844             -15.3252              3.31911
2018 27913350.000000             -2.18329             -14.6925              2.64600
2018 27913410.000000             -3.02724             -13.8062              5.34575
2018 27913470.000000              4.40858             -13.1945              5.59372
2018 27913530.000000              10.0051             -10.4957              5.27914
2018 27913590.000000              10.1012             -10.5028              5.35256
2018 27913650.000000              8.30586             -11.6591              6.21787
2018 27913710.000000              9.35662             -10.8522              5.80792
2018 27913770.000000              9.53037             -10.3774              6.25236
2018 27913830.000000              9.74952             -10.2751              3.68421
2018 27913890.000000              7.76603             -6.58437              10.7681
2018 27913950.000000              10.8649             -6.25880             0.818651
2018 27914010.000000              1.70877             -10.8313              10.4747
2018 27914070.000000              4.80480             -12.0224              7.59196
2018 27914130.000000              4.95098             -12.0670              7.26882
2018 27914190.000000              4.78318             -12.4588              7.13681
2018 27914250.000000              3.48989             -11.4714              8.04661
2018 27914310.000000              4.94674             -11.5539              7.07724
2018 27914370.000000              10.0087             -11.1686             0.439994
2018 27914430.000000              11.2448             -9.73110             0.245144
2018 27914490.000000              13.3227             -5.68601             -2.24916
2018 27914550.000000              14.1488             -3.18199             -3.53210
2018 27914610.000000              13.0125             0.883439             -6.01264
2018 27914670.000000              12.8212             -2.11263             -5.44339
2018 27914730.000000              13.3103             -3.11842             -5.72429
2018 27914790.000000              11.6782              2.97513             -6.65767
2018 27914850.000000              10.7392             -7.72249             -6.26243
2018 27914910.000000              12.7417             -3.25264             -7.00276
2018 27914970.000000              14.7099             -2.18839             -2.99821
2018 27915030.000000              14.5998            -0.892126             -3.28275
2018 27915090.000000              14.3531             0.284410             -4.36696
2018 27915150.000000              11.3718              8.59780             -1.45399
