#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         LWS>Living With a Star
#     SOURCE_NAME                     PSP>Parker Solar Probe
#     DISCIPLINE                      Solar Physics>Heliospheric Physics
#                                     Space Physics>Interplanetary Studies
#     DATA_TYPE                       L3i>Solar Wind Ion velocity moments and fits
#     DESCRIPTOR                      SWP_SPC>Solar Wind Electrons Alphas and Protons / Solar Probe Cup
#     FILE_NAMING_CONVENTION          source_descriptor_datatype_yyyyMMdd
#     DATA_VERSION                    01
#     PI_NAME                         Justin C. Kasper
#     PI_AFFILIATION                  University of Michigan
#     TEXT                            This file includes the densities, vector velocities, and scalar (radial component)                     
#     TEXT                             temperatures of the solar wind protons measured by the Solar Probe Cup (SPC).                         
#     TEXT                             These are determined both by a direct computation of the velocity moments of                          
#     TEXT                             the reduced distribution function and by attempting to fit the primary peak                           
#                                      in the ion I(V) curve with a Maxwellian model.                                                        
#                                     When such fitting is successful, the data set also includes Maxwellian model                           
#                                      fits to the alpha-particle (He++) and tertiary (usually proton beam or shoulder)                      
#                                      populations.                                                                                          
#     INSTRUMENT_TYPE                 Plasma and Solar Wind
#     MISSION_GROUP                   Parker Solar Probe (PSP)
#     LOGICAL_SOURCE                  psp_swp_spc_l3i
#     LOGICAL_FILE_ID                 psp_swp_spc_l3i_00000000_v01
#     LOGICAL_SOURCE_DESCRIPTION      Parker Solar Probe/SWEAP/SPC level 3 ion data
#     TIME_RESOLUTION                 variable
#     RULES_OF_USE                    NASA open data policy applies. Consultation with the instrument team is strongly                       
#                                      recommended.                                                                                          
#     GENERATED_BY                    Michael L. Stevens (mstevens@cfa.harvard.edu)
#     GENERATION_DATE                 Thu Jan 20 14:38:22 2022
#     ACKNOWLEDGEMENT                 This project acknowledges the Parker Solar Probe SWEAP instrument team and the                         
#                                      SWEAP science data center for providing these solar wind plasma measurements.                         
#     MODS                            2018-12-04: CDF skeleton created (MLS)
#                                     2019-01-20: expanded data quality flags, variable notes
#                                     2019-01-28: modified to include RTN reference frame
#                                     2019-07-23: minor modifications for spdf compliance
#                                     2019-08-20: minor modifications for spdf compliance
#                                     2019-10-01: corrections to axis label fields, expanded var_notes
#                                     2019-11-04: contracted calibration file variables to global attribute
#                                     2019-10-31: inclusion of standalone general_flag variable
#     LINK_TITLE                      Space Science Reviews
#                                     Data Link
#     LINK_TEXT                       SWEAP instrument paper at
#                                     Smithsonian Astrophysical Observatory SWEAP
#     HTTP_LINK                       https://link.springer.com/article/10.1007/s11214-015-0206-3
#                                     http://sweap.cfa.harvard.edu/Data.html
#                                     spase://NASA/NumericalData/ParkerSolarProbe/SWEAP/SPC/Level3/SolarWindMomentsFits/PT0.2185S            
#     CALIBRATIONS_USED               psp_swp_spc_calfiles_spc_uvphithetalookup_20190819
#                                     psp_swp_spc_calfiles_sensorgainoffsets_20190618_v02
#                                     psp_swp_spc_calfiles_sensorcrosstalk_20190210_v00
#                                     psp_swp_spc_calfiles_raytracesim_20181219_v00
#                                     psp_swp_spc_calfiles_dVthermalcorrection_20181217_v00
#                                     psp_swp_spc_calfiles_mvind2volt_20180801
#                                     psp_swp_spc_calfiles_effectiveAreaTable_v00
#     CDAWEB_PARENTS                  psp_swp_spc_l3i_00000000_v01
#                                     psp_swp_spc_l3i_20181120_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. CDF TT2000 time [ns]
#       NOTES:  Spacecraft ephemeris time, expressed as the number of nanoseconds since J2000 (2000-01-01T12:00:00.000000000) with leap seconds included.    Please refer to CDF TT2000 documentation with regards to this convention.  This time corresponds to the first measurement of the spectrum. Owing to frequent changes in the operating mode, this is usually NOT regular cadence.
#  2. PSP Spacecraft position in the Heliocentric Inertial system, in km
#       NOTES:  Also called Ecliptic J2000. Z is the solar north rotational axis, and X is the solar ascending node on the J2000 ecliptic.
#
EPOCH                               X_HCI                Y_HCI                Z_HCI
                                   (@_1_)               (@_2_)               (@_3_)
Year____Secs-of-year                   km                   km                   km
2018 27910820.344801         -6.30708E+07         -1.14899E+07          1.72333E+06
2018 27910848.306881         -6.30716E+07         -1.14910E+07          1.72342E+06
2018 27910876.268941         -6.30724E+07         -1.14922E+07          1.72351E+06
2018 27910904.231000         -6.30731E+07         -1.14934E+07          1.72361E+06
2018 27910932.193060         -6.30739E+07         -1.14946E+07          1.72370E+06
2018 27910960.155119         -6.30746E+07         -1.14958E+07          1.72379E+06
2018 27910988.117199         -6.30754E+07         -1.14970E+07          1.72389E+06
2018 27911016.079259         -6.30761E+07         -1.14981E+07          1.72398E+06
2018 27911044.041318         -6.30769E+07         -1.14993E+07          1.72407E+06
2018 27911072.003398         -6.30776E+07         -1.15005E+07          1.72417E+06
2018 27911099.965438         -6.30784E+07         -1.15017E+07          1.72426E+06
2018 27911127.927517         -6.30791E+07         -1.15029E+07          1.72436E+06
2018 27911155.889577         -6.30799E+07         -1.15041E+07          1.72445E+06
2018 27911183.851636         -6.30807E+07         -1.15052E+07          1.72454E+06
2018 27911211.813716         -6.30814E+07         -1.15064E+07          1.72464E+06
2018 27911239.775776         -6.30822E+07         -1.15076E+07          1.72473E+06
2018 27911267.737815         -6.30829E+07         -1.15088E+07          1.72482E+06
2018 27911295.699895         -6.30837E+07         -1.15100E+07          1.72492E+06
2018 27911323.661955         -6.30844E+07         -1.15112E+07          1.72501E+06
2018 27911351.624014         -6.30852E+07         -1.15124E+07          1.72510E+06
2018 27911379.586094         -6.30859E+07         -1.15135E+07          1.72520E+06
2018 27911407.548153         -6.30867E+07         -1.15147E+07          1.72529E+06
2018 27911435.510213         -6.30874E+07         -1.15159E+07          1.72539E+06
2018 27911463.472273         -6.30882E+07         -1.15171E+07          1.72548E+06
2018 27911491.434332         -6.30889E+07         -1.15183E+07          1.72557E+06
2018 27911519.396412         -6.30897E+07         -1.15195E+07          1.72567E+06
2018 27911547.358471         -6.30905E+07         -1.15206E+07          1.72576E+06
2018 27911575.320531         -6.30912E+07         -1.15218E+07          1.72585E+06
2018 27911603.282611         -6.30920E+07         -1.15230E+07          1.72595E+06
2018 27911631.244650         -6.30927E+07         -1.15242E+07          1.72604E+06
2018 27911659.206730         -6.30935E+07         -1.15254E+07          1.72613E+06
2018 27911687.168789         -6.30942E+07         -1.15266E+07          1.72623E+06
2018 27911715.130849         -6.30950E+07         -1.15277E+07          1.72632E+06
2018 27911743.092929         -6.30957E+07         -1.15289E+07          1.72642E+06
2018 27911771.054988         -6.30965E+07         -1.15301E+07          1.72651E+06
2018 27911799.017028         -6.30972E+07         -1.15313E+07          1.72660E+06
2018 27911826.979107         -6.30980E+07         -1.15325E+07          1.72670E+06
2018 27911854.941167         -6.30987E+07         -1.15337E+07          1.72679E+06
2018 27911882.903227         -6.30995E+07         -1.15348E+07          1.72688E+06
2018 27911910.865306         -6.31003E+07         -1.15360E+07          1.72698E+06
2018 27911938.827366         -6.31010E+07         -1.15372E+07          1.72707E+06
2018 27911966.789426         -6.31018E+07         -1.15384E+07          1.72716E+06
2018 27911994.751485         -6.31025E+07         -1.15396E+07          1.72726E+06
2018 27912022.713545         -6.31033E+07         -1.15408E+07          1.72735E+06
2018 27912050.675624         -6.31040E+07         -1.15419E+07          1.72745E+06
2018 27912078.637684         -6.31048E+07         -1.15431E+07          1.72754E+06
2018 27912106.599744         -6.31055E+07         -1.15443E+07          1.72763E+06
2018 27912134.561803         -6.31063E+07         -1.15455E+07          1.72773E+06
2018 27912162.523863         -6.31070E+07         -1.15467E+07          1.72782E+06
2018 27912190.485942         -6.31078E+07         -1.15479E+07          1.72791E+06
2018 27912218.448002         -6.31085E+07         -1.15490E+07          1.72801E+06
2018 27912246.410062         -6.31093E+07         -1.15502E+07          1.72810E+06
2018 27912274.372141         -6.31101E+07         -1.15514E+07          1.72819E+06
2018 27912302.334201         -6.31108E+07         -1.15526E+07          1.72829E+06
